train/mean_ep_reward,stability/std_episode_reward,eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/std_ep_reward,stability/avg_episode_reward,train/mean_ep_length,eval/success_rate,timesteps,rollout/success_rate,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/std,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/approx_kl,train/clip_range,train/loss,train/n_updates,train/learning_rate
-4.4416487,0.9775764320775179,50.0,32768,-10.7,0.9775764320775179,-4.4416487,50.0,0.8,32768,,,,,,,,,,,,,,,,,
,,,32768,,,,,,,0.1899999976158142,50.0,164,-4.2157353099999995,8,199,,,,,,,,,,,
-3.7304747000000007,0.6159261043581526,50.0,33792,-6.65,0.6159261043581526,-3.7304747000000007,50.0,0.9,33792,,,,,,,0.9932680130004883,-0.019310085684992373,-5.650859706103802,0.29614847898483276,0.07009995944099501,0.12554931640625,0.014374804,0.2,-0.06597203016281128,32,0.0001
-4.0042501,0.7633411976084418,50.0,34816,-7.65,0.7633411976084418,-4.0042501,50.0,0.85,34816,,,,,,,,,,,,,,,,,
-3.7051794,0.5729864385339674,50.0,35840,-5.35,0.5729864385339674,-3.7051794,50.0,0.95,35840,,,,,,,,,,,,,,,,,
-3.4121888,0.23961240501393072,50.0,36864,-3.15,0.23961240501393072,-3.4121888,50.0,1.0,36864,,,,,,,,,,,,,,,,,
,,,36864,,,,,,,0.1899999976158142,50.0,163,-3.85422127,9,225,,,,,,,,,,,
-3.2016328,0.447976126272104,50.0,37888,-2.55,0.447976126272104,-3.2016328,50.0,1.0,37888,,,,,,,0.9885042905807495,-0.019416016984905582,-5.639310523867607,0.317621648311615,0.055860210908576846,0.12274169921875,0.012630492,0.2,-0.05986194685101509,36,0.0001
-2.9321096,0.3888217320642457,50.0,38912,-2.8,0.3888217320642457,-2.9321096,50.0,1.0,38912,,,,,,,,,,,,,,,,,
-3.2217088000000005,0.3055674399234316,50.0,39936,-4.1,0.3055674399234316,-3.2217088000000005,50.0,0.95,39936,,,,,,,,,,,,,,,,,
-3.2554209,0.45796021630343614,50.0,40960,-2.3,0.45796021630343614,-3.2554209,50.0,1.0,40960,,,,,,,,,,,,,,,,,
,,,40960,,,,,,,0.41999998688697815,50.0,166,-3.2581852700000002,10,246,,,,,,,,,,,
